manufacturer;url_informazione-aziende.it
Fruttagel societa' cooperativa agricola per azioni in sigla frutt agel s.c.p.a.;https://www.informazione-aziende.it/Azienda_FRUTTAGEL-SOCIETA-COOPERATIVA-AGRICOLA-PER-AZIONI-IN-SIGLA-FRUTT-AGEL-SCPA
S.a.p.i.-societa' azionaria prodotti industriali-societa' per azioni;https://www.informazione-aziende.it/Azienda_SAPI-SOCIETA-AZIONARIA-PRODOTTI-INDUSTRIALI-SOCIETA-PER-AZIONI
La molisana - s.p.a.;https://www.informazione-aziende.it/Azienda_LA-MOLISANA-SPA
Prontofoods - s.p.a.;https://www.informazione-aziende.it/Azienda_PRONTOFOODS-SPA
Farchioni olii - s.p.a. in forma abbreviata anche fo-spa;https://www.informazione-aziende.it/Azienda_FARCHIONI-OLII-SPA-IN-FORMA-ABBREVIATA-ANCHE-FO-SPA
Generale conserve societa' per azioni;https://www.informazione-aziende.it/Azienda_GENERALE-CONSERVE-SOCIETA-PER-AZIONI
Gruppo italiano mangimi s.p.a.;https://www.informazione-aziende.it/Azienda_GRUPPO-ITALIANO-MANGIMI-SPA
Fiorentini firenze s.p.a.;https://www.informazione-aziende.it/Azienda_FIORENTINI-FIRENZE-SPA
"Azove - societa'  agricola cooperativa sigla ""azove soc. agr. coop.""";https://www.informazione-aziende.it/Azienda_AZOVE-SOCIETA-AGRICOLA-COOPERATIVA-SIGLA-AZOVE-SOC-AGR-COOP
Costa d'oro s.p.a.;https://www.informazione-aziende.it/Azienda_COSTA-DORO-SPA
Ferrari giovanni industria casearia spa;https://www.informazione-aziende.it/Azienda_FERRARI-GIOVANNI-INDUSTRIA-CASEARIA-SPA
Eskigel s.r.l.;https://www.informazione-aziende.it/Azienda_ESKIGEL-SRL
Ferrarini s.p.a.;https://www.informazione-aziende.it/Azienda_FERRARINI-SPA
Rigamonti salumificio s.p.a.;https://www.informazione-aziende.it/Azienda_RIGAMONTI-SALUMIFICIO-SPA
Sperlari s.r.l.;https://www.informazione-aziende.it/Azienda_SPERLARI-SRL
Elah dufour s.p.a.;https://www.informazione-aziende.it/Azienda_ELAH-DUFOUR-SPA
Piatti freschi italia s.p.a. o, in forma abbreviata, pfi s.p.a.;https://www.informazione-aziende.it/Azienda_PIATTI-FRESCHI-ITALIA-SPA-O-IN-FORMA-ABBREVIATA-PFI-SPA
Alfrus s.r.l.;https://www.informazione-aziende.it/Azienda_ALFRUS-SRL
Villani s.p.a.;https://www.informazione-aziende.it/Azienda_VILLANI-SPA
F.lli sacla' s.p.a., o, in forma sviluppata, fratelli sacla' s.p.a.;https://www.informazione-aziende.it/Azienda_FLLI-SACLA-SPA-O-IN-FORMA-SVILUPPATA-FRATELLI-SACLA-SPA
Roncadin s.p.a.;https://www.informazione-aziende.it/Azienda_RONCADIN-SPA
Fanin s.p.a.;https://www.informazione-aziende.it/Azienda_FANIN-SPA
Societa'  industria molitoria ercole cellino  s.p.a.  den.abbr. simec s.p.a.;https://www.informazione-aziende.it/Azienda_SOCIETA-INDUSTRIA-MOLITORIA-ERCOLE-CELLINO-SPA-DENABBR-SIMEC-SPA
Pietro coricelli - s.p.a.;https://www.informazione-aziende.it/Azienda_PIETRO-CORICELLI-SPA
Globalcarni societa' per azioni abbreviabile in globalcarni s.p.a;https://www.informazione-aziende.it/Azienda_GLOBALCARNI-SOCIETA-PER-AZIONI-ABBREVIABILE-IN-GLOBALCARNI-SPA
Nino castiglione  s.r.l.;https://www.informazione-aziende.it/Azienda_NINO-CASTIGLIONE-SRL
Levoni  s.p.a.;https://www.informazione-aziende.it/Azienda_LEVONI-SPA
Rigoni di asiago s.r.l.;https://www.informazione-aziende.it/Azienda_RIGONI-DI-ASIAGO-SRL
Vicenzi s.p.a.;https://www.informazione-aziende.it/Azienda_VICENZI-SPA
Cim alimentari - s.p.a. o, in forma abbreviata, cim s.p.a.;https://www.informazione-aziende.it/Azienda_CIM-ALIMENTARI-SPA-O-IN-FORMA-ABBREVIATA-CIM-SPA
C.a.f.a.r. societa' agricola cooperativa fra allevatori romagnoli;https://www.informazione-aziende.it/Azienda_CAFAR-SOCIETA-AGRICOLA-COOPERATIVA-FRA-ALLEVATORI-ROMAGNOLI
Produttori latte associati cremona - societa' cooperativa agricol a (p.l.a.c.);https://www.informazione-aziende.it/Azienda_PRODUTTORI-LATTE-ASSOCIATI-CREMONA-SOCIETA-COOPERATIVA-AGRICOL-A-PLAC
Mignini & petrini s.p.a.;https://www.informazione-aziende.it/Azienda_MIGNINI-PETRINI-SPA
Societa' italiana prodotti alimentari s.i.p.a. s.p.a.;https://www.informazione-aziende.it/Azienda_SOCIETA-ITALIANA-PRODOTTI-ALIMENTARI-SIPA-SPA
Valcolatte societa' a responsabilita' limitata enunciabile anche valcolatte s.r.l.;https://www.informazione-aziende.it/Azienda_VALCOLATTE-SOCIETA-A-RESPONSABILITA-LIMITATA-ENUNCIABILE-ANCHE-VALCOLATTE-SRL
Centrale del latte di roma s.p.a.;https://www.informazione-aziende.it/Azienda_CENTRALE-DEL-LATTE-DI-ROMA-SPA
Lattebusche - latteria della vallata feltrina - societa' cooperat iva agricola - con sigla lattebusche s.c.a.;https://www.informazione-aziende.it/Azienda_LATTEBUSCHE-LATTERIA-DELLA-VALLATA-FELTRINA-SOCIETA-COOPERAT-IVA-AGRICOLA-CON-SIGLA-LATTEBUSCHE-SCA
Italcanditi s.p.a.;https://www.informazione-aziende.it/Azienda_ITALCANDITI-SPA
Morando s.p.a.;https://www.informazione-aziende.it/Azienda_MORANDO-SPA-197F5
Pata s.p.a.;https://www.informazione-aziende.it/Azienda_PATA-SPA
Industria casearia silvio belladelli s.p.a.;https://www.informazione-aziende.it/Azienda_INDUSTRIA-CASEARIA-SILVIO-BELLADELLI-SPA
Riso gallo s.p.a.;https://www.informazione-aziende.it/Azienda_RISO-GALLO-SPA
"Ponti s.p.a. siglabile ""pospa"" la societa' puo' anche operare con la denominazione ""f.lli ponti s.p.a."" oppure ""cantine guido ponti"" oppure ""azienda montana achillea"" oppure ""a.m.a.""";https://www.informazione-aziende.it/Azienda_PONTI-SPA-SIGLABILE-POSPA-LA-SOCIETA-PUO-ANCHE-OPERARE-CON-LA-DENOMINAZIONE-FLLI-PONTI-SPA-OPPURE-CANTINE-GUIDO-PONTI-OPPURE-AZIENDA-MONTANA-ACHILLEA-OPPURE-AMA
Centro carni company s.p.a.;https://www.informazione-aziende.it/Azienda_CENTRO-CARNI-COMPANY-SPA
Olivieri s.p.a.;https://www.informazione-aziende.it/Azienda_OLIVIERI-SPA
Agugiaro & figna molini s.p.a.;https://www.informazione-aziende.it/Azienda_AGUGIARO-FIGNA-MOLINI-SPA
Cremaschini f.lli s.p.a.;https://www.informazione-aziende.it/Azienda_CREMASCHINI-FLLI-SPA
Oleificio san giorgio s.p.a.;https://www.informazione-aziende.it/Azienda_OLEIFICIO-SAN-GIORGIO-SPA
M.e.c. s.p.a.;https://www.informazione-aziende.it/Azienda_MEC-SPA-71F76
Mantua surgelati - s.p.a.;https://www.informazione-aziende.it/Azienda_MANTUA-SURGELATI-SPA
Parmovo s.r.l.;https://www.informazione-aziende.it/Azienda_PARMOVO-SRL
Cooperativa latteria vipiteno societa' agricola;https://www.informazione-aziende.it/Azienda_COOPERATIVA-LATTERIA-VIPITENO-SOCIETA-AGRICOLA
Ferraroni s.p.a.;https://www.informazione-aziende.it/Azienda_FERRARONI-SPA
Optima s.p.a.;https://www.informazione-aziende.it/Azienda_OPTIMA-SPA
Bonomelli - s.r.l.;https://www.informazione-aziende.it/Azienda_BONOMELLI-SRL-28C2B
Amica chips s.p.a.;https://www.informazione-aziende.it/Azienda_AMICA-CHIPS-SPA
"""f.lli veroni fu angelo s.p.a."" o, in forma abbreviata, ""veroni s .p.a.""";https://www.informazione-aziende.it/Azienda_FLLI-VERONI-FU-ANGELO-SPA-O-IN-FORMA-ABBREVIATA-VERONI-S-PA
Aimaretti spa-industria salumi;https://www.informazione-aziende.it/Azienda_AIMARETTI-SPA-INDUSTRIA-SALUMI
Raspini s.p.a.;https://www.informazione-aziende.it/Azienda_RASPINI-SPA
M.b. mangimi s.p.a.;https://www.informazione-aziende.it/Azienda_MB-MANGIMI-SPA
Latteria montello s.p.a.;https://www.informazione-aziende.it/Azienda_LATTERIA-MONTELLO-SPA
Formec biffi s.p.a.;https://www.informazione-aziende.it/Azienda_FORMEC-BIFFI-SPA
